NTCIR12-MathWiki-1 xxx Active_contour_model:1 0.0
NTCIR12-MathWiki-1 xxx Binomial_coefficient:197 0.0
NTCIR12-MathWiki-1 xxx Dedekind_eta_function:31 1.0
NTCIR12-MathWiki-1 xxx De_Rham_curve:60 0.0
NTCIR12-MathWiki-1 xxx Duckworth–Lewis_method:2 0.0
NTCIR12-MathWiki-1 xxx Edge-graceful_labeling:2 0.0
NTCIR12-MathWiki-1 xxx Elementary_algebra:196 0.0
NTCIR12-MathWiki-1 xxx Fibonacci_number:10 3.0
NTCIR12-MathWiki-1 xxx Field_electron_emission:18 0.0
NTCIR12-MathWiki-1 xxx Fractional_vortices:19 0.0
NTCIR12-MathWiki-1 xxx Geometry_index:2 2.0
NTCIR12-MathWiki-1 xxx Giant_component:13 0.0
NTCIR12-MathWiki-1 xxx Golden_ratio:14 2.0
NTCIR12-MathWiki-1 xxx Heegner_number:48 1.0
NTCIR12-MathWiki-1 xxx Joint_entropy:11 0.0
NTCIR12-MathWiki-1 xxx Madelung_constant:14 2.0
NTCIR12-MathWiki-1 xxx Magnetization_dynamics:7 0.0
NTCIR12-MathWiki-1 xxx Mathematical_coincidence:29 2.0
NTCIR12-MathWiki-1 xxx Mathematical_constants_and_functions:355 2.0
NTCIR12-MathWiki-1 xxx Misiurewicz_point:25 0.0
NTCIR12-MathWiki-1 xxx Nth_root:12 2.0
NTCIR12-MathWiki-1 xxx Particular_values_of_Riemann_zeta_function:40 2.0
NTCIR12-MathWiki-1 xxx Pell_number:45 1.0
NTCIR12-MathWiki-1 xxx Pell_number:53 2.0
NTCIR12-MathWiki-1 xxx Pell_number:61 4.0
NTCIR12-MathWiki-1 xxx Point_set_triangulation:2 0.0
NTCIR12-MathWiki-1 xxx Power_series_solution_of_differential_equations:33 1.0
NTCIR12-MathWiki-1 xxx Prime_zeta_function:28 4.0
NTCIR12-MathWiki-1 xxx Pseudoholomorphic_curve:21 0.0
NTCIR12-MathWiki-1 xxx Quintic_function:37 2.0
